City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Stromness,GB,58.965,-3.296,35.6,87,75,25.32,broken clouds
79,Matara,LK,5.9485,80.5353,85.12,63,14,0.63,few clouds
80,Victoria,HK,22.2855,114.1577,72.0,56,20,11.5,few clouds
81,Vanderhoof,CA,54.0166,-124.0198,21.74,97,100,2.71,snow
82,Nisia Floresta,BR,-6.0911,-35.2086,78.8,83,20,8.05,few clouds
83,Hailey,US,43.5196,-114.3153,17.6,79,1,6.91,clear sky
84,Pevek,RU,69.7008,170.3133,-14.84,81,85,2.77,overcast clouds
85,Sistranda,NO,63.7256,8.834,14.0,85,40,5.75,scattered clouds
86,Safford,US,32.834,-109.7076,53.6,30,1,14.97,clear sky
87,Bethel,US,41.3712,-73.414,27.0,93,1,2.01,clear sky
88,Cayenne,GF,4.9333,-52.3333,77.0,94,75,9.22,broken clouds
89,Yellowknife,CA,62.456,-114.3525,-32.01,75,1,6.91,clear sky
90,Carnarvon,AU,-24.8667,113.6333,84.2,69,90,18.41,overcast clouds
91,Rocha,UY,-34.4833,-54.3333,64.08,71,100,13.96,overcast clouds
92,Cervo,ES,43.6702,-7.4101,39.0,100,77,1.99,broken clouds
93,Alofi,NU,-19.0595,-169.9187,80.6,83,100,9.22,moderate rain
94,Chokurdakh,RU,70.6333,147.9167,-15.54,86,98,20.38,overcast clouds
95,Port Elizabeth,ZA,-33.918,25.5701,69.8,83,20,2.3,few clouds
96,Provideniya,RU,64.3833,-173.3,-4.41,88,100,26.64,light snow
97,Nikolskoye,RU,59.7035,30.7861,5.0,78,20,11.18,few clouds
98,Staunton,US,38.1496,-79.0717,39.2,56,90,4.27,overcast clouds
99,Qui Nhon,VN,13.7667,109.2333,76.23,75,38,14.34,scattered clouds
100,Acari,PE,-15.4311,-74.6158,72.55,66,100,3.44,overcast clouds
101,Ouadda,CF,8.0777,22.4007,69.21,23,0,7.83,clear sky
102,Vila Do Maio,CV,15.1333,-23.2167,68.0,77,75,16.11,broken clouds
103,Castro,BR,-24.7911,-50.0119,58.78,91,1,4.68,clear sky
104,Nichinan,JP,31.6,131.3667,57.2,47,75,5.75,volcanic ash
105,Bluff,NZ,-46.6,168.3333,58.48,72,78,11.3,broken clouds
106,Kavaratti,IN,10.5669,72.642,81.21,76,75,11.95,broken clouds
107,Albanel,CA,48.8832,-72.4487,10.4,85,46,2.3,scattered clouds
108,Tautira,PF,-17.7333,-149.15,82.0,65,45,1.99,scattered clouds
109,Kano,NG,12.0001,8.5167,57.2,51,0,4.61,clear sky
110,Praia Da Vitoria,PT,38.7333,-27.0667,52.0,93,75,19.1,broken clouds
111,Vidim,RU,56.4088,103.1106,7.57,93,100,7.87,overcast clouds
112,Nawa,IN,27.0167,75.0,65.39,46,0,4.38,clear sky
113,Berwick,US,41.0545,-76.2333,28.0,82,100,3.42,light snow
114,Coihaique,CL,-45.5752,-72.0662,53.6,76,0,3.44,clear sky
115,Sola,VU,-13.8833,167.55,76.8,86,100,4.32,overcast clouds
116,Poum,NC,-20.2333,164.0167,80.67,81,7,13.89,clear sky
117,Torbay,CA,47.6666,-52.7314,41.0,94,100,6.69,overcast clouds
118,Fairbanks,US,64.8378,-147.7164,-26.0,68,1,3.13,clear sky
119,Caravelas,BR,-17.7125,-39.2481,76.06,86,0,7.78,clear sky
120,Makakilo City,US,21.3469,-158.0858,69.8,64,75,3.44,broken clouds
121,Shenjiamen,CN,29.9576,122.298,51.55,93,99,6.69,overcast clouds
122,Singkang,MY,2.1006,102.7994,87.8,62,20,11.5,few clouds
123,Saint-Philippe,RE,-21.3585,55.7679,86.0,58,40,4.61,light rain
124,Yichang,CN,30.7144,111.2847,59.81,49,92,2.95,overcast clouds
125,Ancud,CL,-41.8697,-73.8203,68.0,49,0,11.5,clear sky
126,Sioux Lookout,CA,50.1001,-91.917,3.2,78,90,8.05,snow
127,Ribeira Grande,PT,38.5167,-28.7,55.0,67,61,18.5,broken clouds
128,Barrow,US,71.2906,-156.7887,-20.2,69,90,6.91,haze
129,Tibati,CM,6.4667,12.6333,62.6,29,0,4.47,clear sky
130,Arauca,CO,7.0847,-70.7591,78.71,70,16,3.76,few clouds
131,Praia,CV,14.9215,-23.5087,68.0,77,75,16.11,broken clouds
132,Bengkulu,ID,-3.8004,102.2655,85.59,61,19,7.49,few clouds
133,Saint Anthony,US,45.0205,-93.218,8.6,66,1,18.41,clear sky
134,Libertador General San Martin,AR,-23.8064,-64.7876,71.01,83,99,3.0,overcast clouds
135,Khilok,RU,51.3674,110.4676,14.22,90,100,13.11,light snow
136,Portland,US,45.5234,-122.6762,46.0,88,98,3.0,overcast clouds
137,Yarensk,RU,62.1675,49.0916,5.85,95,93,4.18,overcast clouds
138,Ostersund,SE,63.1792,14.6357,14.0,92,90,8.05,overcast clouds
