City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Moerai,PF,2021-02-03 02:05:41,-22.4333,-151.3333,81.39,61,0,1.79
67,Banjar,ID,2021-02-03 02:05:42,-8.19,114.9675,82.4,78,40,9.22
68,Saint-Raymond,CA,2021-02-03 02:04:21,45.467,-73.6095,28.99,93,100,8.05
69,Kirakira,SB,2021-02-03 02:05:42,-10.4544,161.9205,79.88,84,100,14.45
70,Norman Wells,CA,2021-02-03 02:05:42,65.282,-126.8329,-20.2,76,75,3.44
71,Byron Bay,AU,2021-02-03 02:05:42,-28.65,153.6167,80.6,61,7,14.97
72,Saskylakh,RU,2021-02-03 02:05:42,71.9167,114.0833,-2.52,91,100,13.06
73,Kodinsk,RU,2021-02-03 02:05:42,58.6881,99.1844,-9.67,88,100,3.67
74,Amberley,US,2021-02-03 02:05:42,39.2048,-84.428,28.4,74,1,4.61
75,Kieta,PG,2021-02-03 02:05:43,-6.2167,155.6333,81.82,83,100,18.84
76,Thompson,CA,2021-02-03 02:05:43,55.7435,-97.8558,15.8,92,90,4.61
77,Zhanaozen,KZ,2021-02-03 02:05:43,43.3,52.8,40.06,72,99,15.86
78,Asilah,MA,2021-02-03 02:05:43,35.465,-6.0348,51.8,100,40,5.75
79,Clyde River,CA,2021-02-03 02:05:43,70.4692,-68.5914,-31.0,68,1,2.3
80,Saint Joseph,US,2021-02-03 02:02:38,39.7686,-94.8466,32.0,74,1,5.75
81,Guerrero Negro,MX,2021-02-03 02:05:44,27.9769,-114.0611,65.35,56,99,12.41
82,Kavieng,PG,2021-02-03 02:05:44,-2.5744,150.7967,84.16,73,20,10.83
83,Katsuura,JP,2021-02-03 02:05:44,35.1333,140.3,48.2,39,20,6.91
84,Brandenburg,DE,2021-02-03 02:05:44,52.4167,12.55,35.01,91,100,3.2
85,Pimenta Bueno,BR,2021-02-03 02:05:44,-11.6725,-61.1936,74.44,93,91,1.5
86,Hermanus,ZA,2021-02-03 02:05:44,-34.4187,19.2345,59.0,95,0,5.64
87,Samarai,PG,2021-02-03 02:05:44,-10.6167,150.6667,84.27,71,86,5.95
